Product Name,Original_price,Offer_price,percentage,Brand,assurance,products_link
KYRIS 4.0 MS Running Shoes For Men,"2,579","4,299",40% off,ADIDAS,True,https://www.flipkart.com/adidas-kyris-4-0-ms-running-shoes-men/p/itmfhwpbpfanpq8p?pid=SHOFHWPBXZYG8ZUT&lid=LSTSHOFHWPBXZYG8ZUT0QLB8F&marketplace=FLIPKART&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=bf812448-9cfc-4408-90f3-83b604eb4796.SHOFHWPBXZYG8ZUT.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
STARGON 1.0 M SS 19 Running Shoes For Men,"2,708","4,299",37% off,ADIDAS,True,https://www.flipkart.com/adidas-stargon-1-0-m-ss-19-running-shoes-men/p/itmfd3ht3urmxtcx?pid=SHOFD3HUCRCZNFNG&lid=LSTSHOFD3HUCRCZNFNGBV6O0R&marketplace=FLIPKART&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=87c4d645-2920-4faa-bb6c-54536f59ba82.SHOFD3HUCRCZNFNG.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
YAMO 1.0 M Running Shoes For Men,"2,222","4,799",53% off,ADIDAS,True,https://www.flipkart.com/adidas-yamo-1-0-m-running-shoes-men/p/itmf7g8h4nhzwz6d?pid=SHOF7G8HAFQMSSR6&lid=LSTSHOF7G8HAFQMSSR64ISSJB&marketplace=FLIPKART&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=939b37b3-ba8b-4520-94aa-b705d759ff34.SHOF7G8HAFQMSSR6.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
JEISE M Running Shoes For Men,"3,999",NO,NO,ADIDAS,True,https://www.flipkart.com/adidas-jeise-m-running-shoes-men/p/itmf3yyrevjhrzvf?pid=SHOFFF6ZATMWCU6S&lid=LSTSHOFFF6ZATMWCU6SYKGWC6&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=5c309972-32ba-4c85-a108-6f5e04f120b7.SHOFFF6ZATMWCU6S.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
LITE RACER Running Shoes For Men,"2,399","3,999",40% off,ADIDAS,True,https://www.flipkart.com/adidas-lite-racer-running-shoes-men/p/itmf6qz7zhuykr4n?pid=SHOF6QY6SHWGHYGV&lid=LSTSHOF6QY6SHWGHYGVF3HHRU&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=0d23109e-d1e7-41ce-8ea6-8820a043803b.SHOF6QY6SHWGHYGV.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
CLOUDFOAM ULTIMATE Running Shoes For Men,"3,999","7,999",50% off,ADIDAS,True,https://www.flipkart.com/adidas-cloudfoam-ultimate-running-shoes-men/p/itmf7g8edpjvwcam?pid=SHOF7G8DBMSGZSYJ&lid=LSTSHOF7G8DBMSGZSYJX9USKL&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=55b59a92-6f57-44f7-bac6-6cad4af1771b.SHOF7G8DBMSGZSYJ.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
Running Shoes For Men,"3,999",NO,NO,ADIDAS,False,https://www.flipkart.com/adidas-running-shoes-men/p/itmfa723q8zk2hzg?pid=SHOFA6YAVZ7RDZ2U&lid=LSTSHOFA6YAVZ7RDZ2U4FDI4D&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=c1b567d9-8c0c-4df8-b946-86ff22f6984f.SHOFA6YAVZ7RDZ2U.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
Running Shoes For Men,"3,999",NO,NO,ADIDAS,True,https://www.flipkart.com/adidas-running-shoes-men/p/itmfdympm4d8fyme?pid=SHOFJXYFMG6VBMYJ&lid=LSTSHOFJXYFMG6VBMYJQO3YPH&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=8e764936-e812-4326-8e44-f9c1fe2299b6.SHOFJXYFMG6VBMYJ.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
HACHI 1.0 M Men Running Shoes For Men,"3,999",NO,NO,ADIDAS,True,https://www.flipkart.com/adidas-hachi-1-0-m-men-running-shoes/p/itmf3yy8nfk76qha?pid=SHOEGDSUYUEDBX6H&lid=LSTSHOEGDSUYUEDBX6HX8773W&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=6f53dfd3-ba6e-4dbf-8f8d-07fbb3cab8d6.SHOEGDSUYUEDBX6H.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
Arina M Running Shoes For Men,"3,999",NO,NO,ADIDAS,True,https://www.flipkart.com/adidas-arina-m-running-shoes-men/p/itmf3xfzqpcyv9tw?pid=SHODVN2YWDHQF8NV&lid=LSTSHODVN2YWDHQF8NV6VYBLX&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=86176d57-24c8-44cf-94c8-6424a9dde45e.SHODVN2YWDHQF8NV.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
ADI PACER 1.0 M Running Shoes For Men,"3,999",NO,NO,ADIDAS,True,https://www.flipkart.com/adidas-adi-pacer-1-0-m-running-shoes-men/p/itmf3xnwegersrea?pid=SHOEMGJVYGSTECTA&lid=LSTSHOEMGJVYGSTECTA40KQPB&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=edcf663c-24c6-4995-a5c0-afa3611ed42f.SHOEMGJVYGSTECTA.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
LITE RACER Running Shoes For Men,"3,999",NO,NO,ADIDAS,True,https://www.flipkart.com/adidas-lite-racer-running-shoes-men/p/itmf3xzykstg7zhc?pid=SHOFFF6UGVHH4FPR&lid=LSTSHOFFF6UGVHH4FPRHG2JS5&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=ed76abb0-de1e-43da-9b0c-9a0de20ee881.SHOFFF6UGVHH4FPR.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
Running Shoes For Men,"3,999","7,999",50% off,ADIDAS,True,https://www.flipkart.com/adidas-running-shoes-men/p/itmf5hfkrmjggkvy?pid=SHOF5HFKJQJMZRZN&lid=LSTSHOF5HFKJQJMZRZNJCU5FR&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=b9c45c13-d7a6-4951-8eb0-c5e7fe4da925.SHOF5HFKJQJMZRZN.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
SOLYX M Running Shoes For Men,"3,999","7,999",50% off,ADIDAS,True,https://www.flipkart.com/adidas-solyx-m-running-shoes-men/p/itmf3xzyxenaassn?pid=SHOFFF6TXD8ZGRQQ&lid=LSTSHOFFF6TXD8ZGRQQ4Q3HD2&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=26fc0d86-eadd-4f8a-a667-41a4165baf63.SHOFFF6TXD8ZGRQQ.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
Mens Running Shoes Training & Gym Shoes For Men,"3,999","7,999",50% off,ADIDAS,False,https://www.flipkart.com/adidas-mens-running-shoes-training-gym-men/p/itm05f7dfab34ca0?pid=SHOFJFUNWXUUE76A&lid=LSTSHOFJFUNWXUUE76AIZL66L&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=2a1364d0-6525-4ad6-b375-4a5a4987b668.SHOFJFUNWXUUE76A.SEARCH&ssid=h7tms8ez400000001568520488194&qH=47f8ba5c10136d89
